state,show
 AB,1
 AK,14
 AL,33
 AR,14
 AZ,28
 BC,2
 CA,260
 CO,22
 CT,52
 DC,50
 DE,7
 EN,1
 FL,156
 GA,46
 HI,1
 IA,36
 ID,6
 IL,99
 IN,32
 KS,12
 KY,31
 LA,10
 MA,59
 MD,34
 ME,15
 MI,52
 MN,30
 MO,47
 MS,8
 MT,7
 NC,52
 ND,6
 NE,18
 NH,4
 NJ,36
 NM,7
 NSW,1
 NV,10
 NY,64
 OH,95
 OK,18
 ON,44
 OR,34
 PA,116
 PR,1
 RI,16
 SC,19
 SD,10
 TN,48
 TX,130
 UT,14
 VA,36
 VT,6
 WA,51
 WI,41
 WV,9
 WY,7
